Rank,Sentence,Cloze,Word,POS,Definition,Translation,CEFR,Note
232,Ich brauche nur ein {{c1::einfaches}} Zimmer.,einfaches,einfach,adj.,simple,I just need a simple room.,A1,
233,Der {{c1::Eingang}} ist um die Ecke.,Eingang,der Eingang,n. M.,entrance,The entrance is around the corner.,A1,
234,Ich muss noch für morgen {{c1::einkaufen}}.,einkaufen,einkaufen,v.,shopping,I have to do some shopping for tomorrow.,A1,
235,Darf ich Sie zu einem Kaffee {{c1::einladen}}?,einladen,einladen,v.,invite,May I invite you for a coffee?,A1,
236,Danke für die {{c1::Einladung}}! ,Einladung,die Einladung,n. F.,invitation,Thank you for inviting me! ,A1,
237,Diese Prüfung mache ich nicht noch {{c1::einmal}}.,einmal,einmal,adv.,once,I won't take this test again.,A1,
238,"Schnell, {{c1::steig}} {{c1::ein}}, der Zug fährt gleich.",steig ein,einsteigen,v. ,get in,"Quick, get in, the train is about to leave.",A1,
239,Der Preis für den {{c1::Eintritt}} ist 5 Euro.,Eintritt,der Eintritt,n. M.,entrance,The price of admission is 5 euros.,A1,
240,Haben Sie noch ein {{c1::Einzelzimmer}}? ,Einzelzimmer,das Einzelzimmer,n. N.,single room,Do you still have a single room? ,A1,
241,Meine {{c1::Eltern}} leben in Spanien.,Eltern,die Eltern,n. F.,Parents,My parents live in Spain.,A1,
242,Ich habe Ihre {{c1::E-Mail}} nicht bekommen.,E-Mail,die E-Mail,n. F.,E-mail,I didn't get your e-mail.,A1,
243,"Auf dem Brief steht dein Name, also bist du der {{c1::Empfänger}}.",Empfänger,der Empfänger,n. M.,Recipient,"The letter has your name on it, so you are the recipient.",A1,
244,Welchen Wein können Sie mir {{c1::empfehlen}}?,empfehlen,empfehlen,v.,recommend,What wine can you recommend me?,A1,
245,Die Straße {{c1::endet}} hier.,endet,enden,v.,ends,The street ends here.,A1,
246,Sie wohnt am {{c1::Ende}} der Straße.,Ende,das Ende,n. N.,End,She lives at the end of the street.,A1,
247,Er bekommt sein Geld am {{c1::Ende}} des Monats.,Ende,das Ende,n. N.,End,He gets his money at the end of the month.,A1,
248,{{c1::Entschuldigen}} Sie bitte!,Entschuldigen,entschuldigen,v.,Apologize,Excuse me!,A1,
249,{{c1::Entschuldigung}}! – Bitte.,Entschuldigung,die Entschuldigung,n. F.,Apologize,Excuse me! - Please.,A1,
250,{{c1::Er}} heißt Ali.,Er,er,pron.,He,His name is Ali.,A1,
251,Das {{c1::Ergebnis}} des Tests bekommen Sie in zwei Wochen.,Ergebnis,das Ergebnis,n. N.,Result,You will get the result of the test in two weeks.,A1,
252,Kannst du mir das {{c1::erklären}}?,erklären,erklären,v.,explain,Can you explain this to me?,A1,
253,Rauchen ist hier nicht {{c1::erlaubt}}.,erlaubt,erlauben,v.,allowed,Smoking is not allowed here.,A1,
254,Dieser Film ist nur für {{c1::Erwachsene}}.,Erwachsene,der Erwachsene,n. M.,adult,This movie is for adults only.,A1,
255,Wir müssen euch etwas {{c1::erzählen}}!,erzählen,erzählen,v.,tell,We have something to tell you!,A1,
256,{{c1::Es}} regnet.,Es,es,pron.,It,It's raining.,A1,
257,Was gibt es zu {{c1::essen}}?,essen,essen,v.,eat,What's for dinner?,A1,
258,Das {{c1::Essen}} ist heute sehr gut.,Essen,das Essen,n. N.,Food,The food is very good today.,A1,
259,{{c1::Euer}} Kurs beginnt heute. ,Euer,euer,det.,Your,Your class starts today. ,A1,
260,Ich {{c1::fahre}} mit dem Auto zur Arbeit.,fahre,fahren,v.,drive,I'm going to work by car.,A1,
261,Bitte nicht mit dem {{c1::Fahrer}} sprechen!,Fahrer,der Fahrer,n. M.,Driver,Please don't talk to the driver!,A1,
262,Hast du schon eine {{c1::Fahrkarte}}?,Fahrkarte,die Fahrkarte,n. F.,ticket,Do you have a ticket yet?,A1,
263,Fährst du mit dem {{c1::Fahrrad}} oder mit dem Auto?,Fahrrad,das Fahrrad,n. N.,bike,Are you going by bike or by car?,A1,
264,Das ist {{c1::falsch}}. ,falsch,falsch,adv.,wrong,That's wrong. ,A1,
265,Meine {{c1::Familie}} lebt in Spanien.,Familie,die Familie,n. F.,Family,My family lives in Spain.,A1,
266,Meine {{c1::Familiennamen}} sind García González.,Familiennamen,der Familienname,n. M.,Family name,My surnames are García González.,A1,
267,Bei „{{c1::Familienstand}}“ musst du „ledig“ ankreuzen.,Familienstand,der Familienstand,n. M.,Marital status,"In ""Marital status"" you have to check ""single"".",A1,
268,Die {{c1::Farbe}} gefällt mir gut.,Farbe,die Farbe,n. F.,Color,I like the color.,A1,
269,Schicken Sie uns einfach ein {{c1::Fax}}!,Fax,das Fax,n. N.,Fax,Just send us a fax!,A1,
270,"z. B. {{c1::Feierabend}}, Feiertag",Feierabend,Feier-,n.,Holiday,"z. e.g. closing time, holiday",A1,
271,Am Montag ist {{c1::Feiertag}}.,Feiertag,Feier-,n.,holiday,Monday is a holiday.,A1,
272,Wir {{c1::feiern}} heute meinen Geburtstag.,feiern,feiern,v.,celebrate,We are celebrating my birthday today.,A1,
273,"Herr Müller ist nicht da, er {{c1::fehlt}} schon seit drei Tagen.",fehlt,fehlen,v.,missing,"Mr. Müller is not here, he has been absent for three days.",A1,
274,Was {{c1::fehlt}} Ihnen?,fehlt,fehlen,v.,missing,What are you missing?,A1,
275,Diesen {{c1::Fehler}} mache ich immer.,Fehler,der Fehler,n. M.,mistake,I always make that mistake.,A1,
276,Wollen wir heute Abend mal {{c1::fernsehen}}?,fernsehen,fernsehen,v.,television,Shall we watch TV tonight?,A1,
277,Bist du {{c1::fertig}}?,fertig,fertig,adv.,ready,Are you ready?,A1,
278,Ist mein Auto schon {{c1::fertig}}?,fertig,fertig,adv.,ready,Is my car ready yet?,A1,
279,Haben Sie {{c1::Feuer}}?,Feuer,das Feuer,n. N.,fire,Do you have a light?,A1,
280,Mein Mann hat noch immer {{c1::Fieber}}.,Fieber,das Fieber,n. N.,fever,My husband still has a fever.,A1,
281,Ich möchte gern diesen {{c1::Film}} sehen.,Film,der Film,n. M.,film,I'd like to watch this movie.,A1,
282,Wir müssen den Schlüssel {{c1::finden}}.,finden,finden,v.,find,We have to find the key.,A1,
283,Er arbeitet jetzt bei einer anderen {{c1::Firma}}.,Firma,die Firma,n. F.,Company,He works for another company now.,A1,
284,Ich esse gern {{c1::Fisch}}. Fleisch mag ich nicht. ,Fisch,der Fisch,n. M.,Fish,I like to eat fish. I don't like meat. ,A1,
285,"Eine {{c1::Flasche}} Bier, bitte.",Flasche,die Flasche,n. F.,Bottle,"A bottle of beer, please.",A1,
286,{{c1::Fleisch}} mag ich nicht.,Fleisch,das Fleisch,n. N.,Meat,I don't like meat.,A1,
287,Ich {{c1::fliege}} nicht gern. Deshalb fahre ich mit dem Zug.,fliege,fliegen,v.,fly,I don't like to fly. That's why I take the train.,A1,
288,Wann {{c1::fliegst}} du {{c1::ab}}?,fliegst ab,abfliegen,v.,take off,When do you leave?,A1,
289,Der {{c1::Abflug}} ist um 11.20 Uhr.,Abflug,der Abflug,n. M.,departure,The flight leaves at 11:20.,A1,
290,Kannst du mich zum {{c1::Flughafen}} bringen?,Flughafen,der Flughafen,n. M.,airport,Can you take me to the airport?,A1,
291,Das {{c1::Flugzeug}} aus Berlin kommt heute später an.,Flugzeug,das Flugzeug,n. N.,plane,The plane from Berlin will arrive later today.,A1,
292,Sie müssen dieses {{c1::Formular}} ausfüllen.,Formular,das Formular,n. N.,Form,You need to fill out this form.,A1,
293,Darf ich ein {{c1::Foto}} machen?,Foto,das Foto,n. N.,photo,Can I take a picture?,A1,
294,Er möchte Sie etwas {{c1::fragen}}. Wann kommen Sie?,fragen,fragen,v.,ask,He wants to ask you something. When are you coming?,A1,
295,Ich habe eine {{c1::Frage}}.,Frage,die Frage,n. F.,Question,I have a question.,A1,
296,Das ist {{c1::Frau}} Becker.,Frau,die Frau,n. F.,Ms.,This is Mrs. Becker.,A1,
297,"Guten Tag, {{c1::Frau}} Schmitt!",Frau,die Frau,n. F.,Woman,"Hello, Mrs. Schmitt!",A1,
298,Hier arbeiten mehr Frauen als Männer.,Frau,die Frau,n. F.,Woman,There are more women than men working here.,A1,
299,Ist der Platz noch {{c1::frei}}?,frei,frei,adv.,free,Is this seat still available?,A1,
300,In meiner {{c1::Freizeit}} spiele ich oft Fußball.,Freizeit,die Freizeit,n. F.,Free time,I often play soccer in my free time.,A1,
301,Das weiß ich nicht; ich bin {{c1::fremd}} hier.,fremd,fremd,adv.,foreign,I don't know; I am a stranger here.,A1,
302,Ich {{c1::freue}} mich auf den Urlaub.,freue,(sich) freuen,v.,glad,I'm looking forward to the vacation.,A1,
303,Das ist ein {{c1::Freund}} von mir.,Freund,der Freund,n. M.,friend,This is a friend of mine.,A1,
304,Das ist meine {{c1::Freundin}}.,Freundin,die Freundin,n. F.,girlfriend,This is my girlfriend.,A1,
305,{{c1::Früher}} waren wir oft zusammen im Kino.,Früher,früher,adv.,earlier,We used to go to the movies together.,A1,
306,Am Sonntag {{c1::frühstücke}} ich gern im Bett.,frühstücke,frühstücken,v.,breakfast,On Sunday I like to have breakfast in bed.,A1,
307,Möchtest du ein Ei zum {{c1::Frühstück}}?,Frühstück,das Frühstück,n. N.,breakfast,Would you like an egg for breakfast?,A1,
308,Die {{c1::Führung}} durch das Haus beginnt in 3 Minuten.,Führung,die Führung,n. F.,Guide,The tour of the house starts in 3 minutes.,A1,
309,Das ist {{c1::für}} Sie.,für,für ,prep.,for,This is for you.,A1,
310,Das ist der Schlüssel {{c1::für}} die Haustür.,für,für ,prep.,for,This is the key for the front door.,A1,
311,Das ist das Brot {{c1::für}} morgen.,für,für,prep.,for,This is the bread for tomorrow.,A1,
312,Der linke {{c1::Fuß}} tut mir weh.,Fuß,der Fuß,n. M.,Foot,My left foot hurts.,A1,
313,Spielt ihr gerne {{c1::Fußball}}? ,Fußball,der Fußball,n. M.,Soccer,Do you like playing soccer? ,A1,
314,Wir haben leider keinen {{c1::Garten}}.,Garten,der Garten,n. M.,Garden,Unfortunately we don't have a garden.,A1,
315,Am Wochenende haben wir mehrere {{c1::Gäste}}.,Gäste,der Gast,n. M.,guests,On weekends we have several guests.,A1,
316,Kannst du mir bitte deinen Kugelschreiber {{c1::geben}}?,geben,geben,v.,give,"Can you give me your pen, please?",A1,
317,Es {{c1::gibt}} keine Karten mehr.,gibt,geben,v.,gives,There are no more tickets.,A1,
318,Ich bin in Zagreb {{c1::geboren}}.,geboren,geboren,v.,born,I was born in Zagreb.,A1,
319,"Das {{c1::Geburtsjahr}} Ihres Sohnes, bitte?",Geburtsjahr,das Geburtsjahr,n. N.,Year of birth,"The year of your son's birth, please?",A1,
320,Bitte schreiben Sie Ihren {{c1::Geburtsort}} auf das Formular.,Geburtsort,der Geburtsort,n. M.,birthplace,Please write your place of birth on the form.,A1,
321,Herzlichen Glückwunsch zum {{c1::Geburtstag}}!,Geburtstag,der Geburtstag,n. M.,birthday,Happy birthday!,A1,
322,Das {{c1::gefällt}} mir.,gefällt,gefallen,v.,likes,I like that.,A1,
323,Fahr nicht {{c1::gegen}} den Baum!,gegen,gegen,prep.,against,Don't drive against the tree!,A1,
324,Ich bin {{c1::gegen}} diese Lösung.,gegen,gegen,prep.,against,I am against this solution.,A1,
325,Wer spielt {{c1::gegen}} wen?,gegen,gehen,prep.,against,Who is playing against whom?,A1,
326,"Ich weiß nicht, wie das {{c1::geht}}.",geht,gehen,v.,goes,I don't know how to do it.,A1,
327,Wie geht‘s?,geht's,gehen,v.,goes,How do you do it?,A1,
328,Jetzt muss ich (aber) leider {{c1::gehen}}.,gehen,gehen,v.,go,Now I (but) unfortunately have to go.,A1,
329,Ich muss zum Arzt {{c1::gehen}}.,gehen,gehen,v.,go,I have to go to the doctor.,A1,
330,Das {{c1::geht}} nicht!,geht,gehen,v.,goes,You can't!,A1,
331,Wem {{c1::gehört}} das?,gehört,gehören,v.,belongs,Whose is this?,A1,
332,Hast du noch {{c1::Geld}}?,Geld,das Geld,n. N.,money,Do you have any money?,A1,
333,{{c1::Gemüse}} brauchen wir auch noch. ,Gemüse,das Gemüse,n. N.,Vegetables,"We need vegetables, too. ",A1,
334,Wollen Sie Ihr {{c1::Gepäck}} mitnehmen?,Gepäck,das Gepäck,n. N.,luggage,Do you want to take your luggage?,A1,
335,Da kommt er ja {{c1::gerade}}.,gerade,gerade,adv.,straight,Here he comes now.,A1,
336,Gehen Sie immer {{c1::geradeaus}}!,geradeaus,geradeaus,adv.,straight ahead,Go straight ahead!,A1,
337,Ich gehe {{c1::gerne}} einkaufen. ,gerne,gerne,adv.,like,I like shopping. ,A1,
338,Die {{c1::Geschäfte}} schließen um 18.30 Uhr.,Geschäfte,das Geschäft,n. N.,stores,The stores close at 6:30.,A1,
339,Danke für das schöne {{c1::Geschenk}}.,Geschenk,das Geschenk,n. N.,gift,Thank you for the nice present.,A1,
340,Ich habe leider keine {{c1::Geschwister}}.,Geschwister,die Geschwister,n. F.,siblings,"Unfortunately, I don't have any brothers or sisters.",A1,
341,Das {{c1::Gespräch}} mit Frau Kunz ist um 14 Uhr. Gestern war ich krank.,Gespräch,das Gespräch,n. N.,conversation,The interview with Mrs. Kunz is at 2 pm. Yesterday I was sick.,A1,
342,Meine Frau ist {{c1::gestern}} gestorben.,gestern,gestern,adv.,yesterday,My wife died yesterday.,A1,
343,Mein Lieblingsgetränk ist Tomatensaft.,Getränk,das Getränk,n. N.,Drink,My favorite drink is tomato juice.,A1,
344,Bei „{{c1::Gewicht}}“ schreibst du: 62 Kilo.,Gewicht,das Gewicht,n. N.,weight,"At ""weight"" you write: 62 kilos.",A1,
345,Wer {{c1::gewinnt}} das Spiel?,gewinnt,gewinnen,v.,gains,Who will win the game?,A1,
346,Bitte noch ein {{c1::Glas}} Wein!,Glas,das Glas,n. N.,Glass,"Another glass of wine, please!",A1,
347,Wir brauchen noch drei {{c1::Gläser}}.,Gläser,das Glas,n. N.,glasses,We need three more glasses.,A1,
348,"Sie können mir {{c1::glauben}}, es ist so.",glauben,glauben,v.,believe,"You can believe me, it's like this.",A1,
349,"Ich glaube, er kommt {{c1::gleich}}.",gleich,gleich,adv.,equal,I think he's coming.,A1,
350,Das ist mir {{c1::gleich}}.,gleich,gleich,adv.,same,I don't care.,A1,
351,Das ist der {{c1::gleiche}} Preis.,gleiche,gleich,adj.,same,It's the same price.,A1,
352,Ich komme {{c1::gleich}}.,gleich,gleich,adv.,same,I'll be right there.,A1,
353,Der ICE nach Berlin hält heute an {{c1::Gleis}} 12.,Gleis,das Gleis,n. N.,Track,The ICE train to Berlin stops today at track 12.,A1,
354,Viel {{c1::Glück}}!,Glück,das Glück,n. N.,happiness,Good luck!,A1,
355,Meine Kinder sind {{c1::glücklich}} verheiratet.,glücklich,glücklich,adv.,happy,My children are happily married.,A1,
356,Herzlichen {{c1::Glückwunsch}} zum Geburtstag.,Glückwunsch,der Glückwunsch,n. M.,congratulations,Happy birthday to you.,A1,
357,Heute haben wir dreißig {{c1::Grad}}.,Grad,Grad,n.,degree,It's thirty degrees today.,A1,
358,Ich {{c1::gratuliere}} dir!,gratuliere,gratulieren,v.,congratulations,Congratulations!,A1,
359,Heute {{c1::grillen}} wir im Garten.,grillen,grillen,v.,grill,Today we are having a barbecue in the garden.,A1,
360,Mein Bruder und ich sind gleich {{c1::groß}}.,groß,groß,adv.,great,My brother and I are the same size.,A1,
361,Frankfurt ist eine {{c1::große}} Stadt.,große,groß,adj.,large,Frankfurt is a big city.,A1,
362,Haben Sie das auch in {{c1::Größe}} 40?,Größe,die Größe,n. F.,size,Do you also have this in size 40?,A1,
363,Meine {{c1::Großeltern}} leben in Japan.,Großeltern,die Großerltern,n. F.,grandparents,My grandparents live in Japan.,A1,
364,Meine {{c1::Großmutter}} heißt Eva.,Großmutter,die Großmutter,n. F.,grandmother,My grandmother's name is Eva.,A1,
365,Mein {{c1::Großvater}} ist schon 80.,Großvater,der Großvater,n. M.,grandfather,My grandfather is already 80.,A1,
366,Die erste {{c1::Gruppe}} beginnt um 16 Uhr.,Gruppe,die Gruppe,n. F.,Group,The first group starts at 4 pm.,A1,
367,Viele {{c1::Grüße}} an Ihre Frau.,Grüße,der Gruß,n. M.,Greetings,Many greetings to your wife.,A1,
368,Mit freundlichen {{c1::Grüßen}},Grüßen,der Gruß,n. M.,greetings,With kind regards,A1,
369,Der Pass ist nicht mehr {{c1::gültig}}.,gültig,gültig,adv.,valid,The passport is no longer valid.,A1,
370,Dort gibt es {{c1::günstige}} Angebote.,günstige,günstig,adj.,favorable,There are good deals there.,A1,
371,Das finde ich {{c1::gut}}.,gut,gut,adv.,good,I think that is good.,A1,
372,Ich komme um 13 Uhr. – {{c1::Gut}}!,Gut,gut,adv.,Good,I'll be there at 1 pm. - Good!,A1,
373,{{c1::Guten}} Morgen!,Guten,gut,adj.,good,Good morning!,A1,
374,Ein {{c1::gutes}} neues Jahr!,gutes,gut,adj.,good,Happy New Year!,A1,
375,{{c1::Guten}} Appetit! ,Guten,gut,adj.,Good,Bon appetit! ,A1,
376,Sie hat lange {{c1::Haare}}.,Haare,das Haar,n. N.,hair,She has long hair.,A1,
377,Ich {{c1::habe}} ein neues Auto.,habe,haben,aux.,have,I have a new car.,A1,
378,Ein {{c1::Hähnchen}} mit Pommes bitte!,Hähnchen,das Hähnchen,n. N.,Chicken,A chicken and fries please!,A1,
379,Möchten Sie Vollpension oder {{c1::Halbpension}}?,Halbpension,die Halbpension,n. F.,Half board,Would you like full board or half board?,A1,
380,Wir treffen uns in {{c1::Halle}} B.,Halle,die halle,n. prop.,Hall,We'll meet in Hall B.,A1,
381,{{c1::Hallo}} Inge! Wie geht’s? ,Hallo,hallo,n. prop.,Hello,Hello Inge! How are you? ,A1,
382,Dieser Zug {{c1::hält}} nicht in Rüdesheim.,hält,halten,v.,stops,This train does not stop in Rüdesheim.,A1,
383,An der nächsten {{c1::Haltestelle}} müssen Sie aussteigen.,Haltestelle,die Haltestelle,n. F.,Stop,You have to get off at the next stop.,A1,
384,Er gibt mir die {{c1::Hand}}.,Hand,die Hand,n. F.,Hand,He shakes my hand.,A1,
385,In der Schule bitte die {{c1::Handys}} ausmachen!,Handys,das Handy,n. N.,Cell phones,Please turn off your cell phones at school!,A1,
386,In welchem {{c1::Haus}} wohnst du?,Haus,das Haus,n. N.,House,Which house do you live in?,A1,
387,Ich gehe jetzt nach {{c1::Hause}}.,Hause,das Haus,n. N.,home,I'm going home now.,A1,
388,Paul ist nicht zu {{c1::Hause}}.,Hause,das Haus,n. N.,Home,Paul is not at home.,A1,
389,Kannst du mir bei den {{c1::Hausaufgaben}} helfen? ,Hausaufgaben,die Hausaufgaben,n. F.,Homework,Can you help me with my homework? ,A1,
390,"Die Hausfrau/der {{c1::Hausmann}} wäscht, kocht und kauft ein.",Hausmann,der Hausmann,n. M.,Homemaker,"The housewife/househusband does the washing, cooking and shopping.",A1,
391,Ich komme aus der Schweiz. Das ist meine {{c1::Heimat}}.,Heimat,die Heimat,n. F.,home,I come from Switzerland. This is my home country.,A1,
392,Meine Schwester {{c1::heiratet}} einen Japaner. ,heiratet,heiraten,v.,marry,My sister is marrying a Japanese man. ,A1,
393,Ich {{c1::heiße}} Charlotte Meier.,heiße,heißen,v.,hot,My name is Charlotte Meier.,A1,
394,Wie {{c1::heißt}} das auf Deutsch?,heißt,heißen,v.,means,What is that in German?,A1,
395,"Können Sie mir {{c1::helfen}}, bitte?",helfen,helfen,v.,help,"Can you help me, please?",A1,
396,Im Sommer ist es bis 21 Uhr {{c1::hell}}.,hell,hell,adv.,bright,In summer it's light until 9 p.m.,A1,
397,In der neuen Küche fehlt noch der {{c1::Herd}}.,Herd,der Herd,n. M.,hearth,The stove is still missing in the new kitchen.,A1,
398,"Guten Tag, {{c1::Herr}} Sommer!",Herr,der Herr,n. M.,Mr.,"Good day, Mr. Sommer!",A1,
399,{{c1::Herzlichen}} Glückwunsch!,Herzlichen,herzlich,adj.,Hearty,Congratulations!,A1,
400,{{c1::Heute}} ist ein schöner Tag.,Heute,heute,adv.,Today,Today is a beautiful day.,A1,
401,"{{c1::Hier}} ist 06131-553221, Pamela Linke.",Hier,hier,adv.,Here,"This is 06131-553221, Pamela Linke.",A1,
402,{{c1::Hier}} wohne ich.,Hier,hier,adv.,Here,This is where I live.,A1,
403,{{c1::Hilfe}}! Bitte helfen Sie mir!,Hilfe,die Hilfe,n. F.,Help,Help! Please help me!,A1,
404,Brauchen Sie meine {{c1::Hilfe}}?,Hilfe,die Hilfe,n. F.,Help,Do you need my help?,A1,
405,Die Tür zum Aussteigen ist {{c1::hinten}}.,hinten,hinten,adv.,behind,The door to get out is in the back.,A1,
406,Meine {{c1::Hobbys}} sind Wandern und Schwimmen.,Hobbys,das Hobby,n. N.,Hobbies,My hobbies are hiking and swimming.,A1,
407,Der Mount Everest ist 8.880 Meter {{c1::hoch}}.,hoch,hoch,adv.,high,"Mount Everest is 8,880 meters high.",A1,
408,Zur dieser {{c1::Hochzeit}} kommen mehr als fünfzig Gäste.,Hochzeit,die Hochzeit,n. F.,wedding,There will be more than fifty guests at this wedding.,A1,
409,Ich {{c1::hole}} zwei Flaschen Wasser aus der Küche.,hole,holen,v.,get,I'll get two bottles of water from the kitchen.,A1,
410,{{c1::Hör}} mal! Was ist das?,Hör,hören,v.,listen,Listen! What is that?,A1,
411,Ich habe das Lied schon mal {{c1::gehört}}.,gehört,hören,v.,heard,I've heard that song before.,A1,
412,Im Urlaub sind wir in einem {{c1::Hotel}} am Meer.,Hotel,das Hotel,n. N.,Hotel,On vacation we are in a hotel by the sea.,A1,
413,Der {{c1::Hund}} ist noch jung.,Hund,der Hund,n. M.,Dog,The dog is still young.,A1,
414,Ich habe {{c1::Hunger}}! Wann ist das Essen fertig? ,Hunger,der Hunger,n. M.,Hunger,I'm hungry! When will the food be ready? ,A1,
415,{{c1::Ich}} heiße Veronika.,Ich,ich,pron.,I,My name is Veronika.,A1,
416,Gib {{c1::ihr}} bitte das Buch.,ihr,ihr,pron.,her,"Give her the book, please.",A1,
417,Gib {{c1::ihm}} bitte das Buch.,ihm,ihm,pron.,him,"Give him the book, please.",A1,
418,Ruf {{c1::ihn}} bitte an.,ihn,ihn,pron.,him,"Call him, please.",A1,
419,Frau Bast kommt {{c1::immer}} zu spät.,immer,immer,adv.,always,Mrs. Bast is always late.,A1,
420,Ich wohne {{c1::in}} Wiesbaden.,in,in,prep.,in,I live in Wiesbaden.,A1,
421,Der Zug kommt {{c1::in}} fünf Minuten.,in,in,prep.,in,The train will be here in five minutes.,A1,
422,Frau Rausch arbeitet {{c1::in}} einem Geschäft.,in,in,prep.,in,Mrs. Rausch works in a store.,A1,
423,"Komm, wir gehen {{c1::ins}} Kino.",ins,in,prep.,into,Let's go to the movies.,A1,
424,"Wenn Sie Fragen haben, gehen Sie zur {{c1::Information}}.",Information,die Information,n. F.,Information,"If you have any questions, go to the information desk.",A1,
425,Wir haben hier wichtige Informationen für Sie. ,Information,die Information,n. F.,Information,We have important information for you here. ,A1,
426,"Unser Deutschkurs ist {{c1::international}}: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ...",international,international,adv.,international,"Our German course is international: Silvana comes from Italy, Conchi from Spain, Yin from China ...",A1,
427,Das findest du im {{c1::Internet}}. ,Internet,das Internet,n. N.,Internet,You can find that on the Internet. ,A1,
428,Sind Sie Herr Watanabe? – {{c1::Ja}}.,Ja,ja,part.,Yes,Are you Mr. Watanabe? Yes.,A1,
429,Zieh dir eine {{c1::Jacke}} an. Es ist kalt.,Jacke,die Jacke,n. F.,Jacket,Put on a jacket. It's cold.,A1,
430,Blumen kannst du in {{c1::jedem}} Bahnhof kaufen.,jedem,jed-,det.,each,You can buy flowers at any station.,A1,
431,{{c1::Jetzt}} machen wir eine Pause.,jetzt,jetzt,adv.,now,Now we'll take a break.,A1,
432,Jenny hat einen neuen {{c1::Job}} bei der Post.,Job,der Job,n. M.,Job,Jenny has a new job at the post office.,A1,
433,Viele {{c1::Jugendliche}} kaufen gern ein.,Jugendliche,der Jugendliche,n. M.,teenagers,Many young people like to shop.,A1,
434,Claudia ist 21. – Was? Noch so {{c1::jung}}?,jung,jung,adv.,young,Claudia is 21. - What? Still so young?,A1,
435,Ich habe zwei Kinder. Einen {{c1::Jungen}} und ein Mädchen. ,Jungen,der Junge,n. M.,boys,I have two children. A boy and a girl. ,A1,
436,Zum Frühstück trinke ich immer {{c1::Kaffee}}.,Kaffee,der Kaffee,n. M.,coffee,I always have coffee for breakfast.,A1,
437,Das Glas war teuer. Es geht sehr leicht {{c1::kaputt}}.,kaputt,kaputt,adv.,broken,The glass was expensive. It breaks very easily.,A1,
438,Ich schreibe meinen Bekannten eine {{c1::Karte}} aus dem Urlaub.,Karte,die Karte,n. F.,Map,I write a card to my acquaintances from vacation.,A1,
439,Wollen wir {{c1::Karten}} spielen?,Karten,die Karte,n. F.,Cards,Shall we play cards?,A1,
440,"Ich möchte auch etwas essen. Bringen Sie mir die {{c1::Karte}}, bitte.",Karte,die Karte,n. F.,Card,"I would like to eat something too. Bring me the card, please.",A1,
441,Kann ich auch mit {{c1::Karte}} zahlen?,Karte,die Karte,n. F.,Card,Can I pay with a card?,A1,
442,Für Pommes frites braucht man {{c1::Kartoffeln}}.,Kartoffeln,die Kartoffel,n. F.,Potatoes,For French fries you need potatoes.,A1,
443,Zahlen Sie bitte an der {{c1::Kasse}}.,Kasse,die Kasse,n. F.,cash desk,"Pay at the cash register, please.",A1,
444,Tim {{c1::kauft}} sich ein neues Auto.,kauft,kaufen ,v.,buys,Tim is buying a new car.,A1,
445,Es gibt {{c1::keine}} Eintrittskarten mehr.,keine,kein ,det.,none,There are no more tickets.,A1,
446,"{{c1::Kennen}} Sie diese Frau? – Nein, leider nicht.",Kennen,kennen,v.,Know,"Do you know this woman? No, unfortunately not.",A1,
447,Wir sind neu hier. Wir möchten Sie {{c1::kennenlernen}}.,kennenlernen,kennenlernen,v.,get to know,We are new here. We'd like to get to know you.,A1,
448,Wie viele {{c1::Kinder}} haben Sie?,Kinder,das Kinder,n. N.,Children,How many children do you have?,A1,
449,Die kleine Laura geht schon in den {{c1::Kindergarten}}.,Kindergarten,der Kindergarten ,n. M.,kindergarten,Little Laura already goes to kindergarten.,A1,
450,Wir sehen heute Abend im {{c1::Kino}} einen schönen Film.,Kino,das Kino ,n. N.,cinema,We're going to see a nice movie at the cinema tonight.,A1,
451,"Am {{c1::Kiosk}} bekommen Sie Getränke, Zigaretten und Zeitungen.",Kiosk,der Kiosk ,n. M.,Kiosk,"At the kiosk you can get drinks, cigarettes and newspapers.",A1,
452,Kommst du mit? – {{c1::Klar}}!,Klar,klar,adv.,Clear,Are you coming? - Sure.,A1,
453,In unserer {{c1::Klasse}} sind fünfundzwanzig Schüler.,Klasse,die Klasse,n. F.,Class,There are twenty-five students in our class.,A1,
454,Im Zug fahre ich immer 2. {{c1::Klasse}}.,Klasse,die Klasse,n. F.,Class,I always travel 2nd class on the train.,A1,
455,"Wo finde ich {{c1::Kleidung}}? – Jacken im ersten, Jeans im zweiten Stock.",Kleidung,die Kleidung,n. F.,clothes,"Where can I find clothes? - Jackets on the second floor, jeans on the second.",A1,
456,Eltville ist eine {{c1::kleine}} Stadt am Rhein.,kleine,klein,adj.,small,Eltville is a small town on the Rhine.,A1,
457,Herr Georgi kann gut {{c1::kochen}}.,kochen,kochen,v.,cook,Mr. Georgi is a good cook.,A1,
458,Ist das Ihr {{c1::Koffer}}?,Koffer,der Koffer,n. M.,suitcase,Is that your suitcase?,A1,
459,Wie heißt die neue {{c1::Kollegin}}?,Kollegin,der Kollege ,n. M.,colleague,What's the name of the new colleague?,A1,
